,인허가일자,상세영업상태코드,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
378,20200109.0,1,서울특별시 동작구 사당로16나길 20 1층 103호 (사당동),7010.0,땅스부대찌개 사당점,198172.4325,442871.6182
492,20191008.0,1,서울특별시 종로구 종로 397 1층 (숭인동),3112.0,땅스부대찌개 숭인점,201806.3875,452520.6173
728,20210528.0,1,서울특별시 은평구 진관2로 15-8 웅신 미켈란의아침 1층 111-1호 (진관동),3306.0,땅스부대찌개 구파발점,192834.20899999997,459225.6706
7101,20210531.0,1,서울특별시 용산구 두텁바위로 5 102호 (갈월동),4335.0,땅스부대찌개숙대입구역점,197527.8451,449234.2562
9525,20191018.0,1,서울특별시 광진구 자양로15길 52 103호 (자양동),5055.0,땅스부대찌개 자양점,207070.6276,448131.1453
9693,20200722.0,1,서울특별시 노원구 동일로180길 11-4 1층 (공릉동),1845.0,땅스부대찌개 공릉(도깨비시장)점,206558.4828,457792.1099
9839,20190221.0,1,서울특별시 광진구 긴고랑로9길 20 1층 맨오른쪽호 (중곡동),4910.0,땅스부대찌개 제일시장점,207113.5137,451338.3786
12792,20210111.0,1,서울특별시 송파구 가락로12길 4 107호 (석촌동 파크팰리스),5695.0,담꾹 헬리오시티점,209219.1911,444182.2197
13165,20191024.0,1,서울특별시 동대문구 전농로 156 1층 1호 (전농동),2506.0,땅스부대찌개 전농점,204986.655,452939.68200000003
19083,20200521.0,1,서울특별시 중랑구 중랑역로 21 세화당약국 1층 (중화동),2110.0,땅스 부대찌개,206636.8478,454844.0961
19372,20190326.0,1,서울특별시 중랑구 망우로62길 41 1층 우측호 (망우동),2166.0,땅스부대찌개 우림시장점,208605.233,455009.612
19570,20190627.0,1,서울특별시 성북구 장위로38길 55-1 1층 (장위동),2770.0,땅스부대찌개,204465.4207,456520.2617
19615,20190502.0,1,서울특별시 성북구 동소문로 309 1층 1호 (길음동),2730.0,땅스부대찌개길음점,202453.7557,456142.9387
25731,20200115.0,1,서울특별시 도봉구 마들로11길 20 농협창동유통센타 지하1층 (창동),1413.0,땅스부대찌개창동하나로클럽점,204413.6166,461378.5887
28472,20210113.0,1,서울특별시 양천구 중앙로 254 (신정동),8082.0,담꾹 신정네거리역점,186995.2866,446337.4309
28659,20200422.0,1,서울특별시 노원구 동일로 1649 윤일빌딩 101호 (상계동),1608.0,땅스부대찌개 수락산역점,204783.7741,463696.0955
28676,20200407.0,1,서울특별시 노원구 중계로 184 상가동 105호 (중계동 라이프청구신동아아파트),1721.0,땅스부대찌개 중계점,206949.9781,461064.5301
36407,20210602.0,1,서울특별시 노원구 노원로1길 67 대덕프라자 108호 (공릉동),1827.0,식사준비 화랑대역점,207311.1758,457610.71200000006
36460,20210602.0,1,서울특별시 마포구 월드컵북로 230 현대상가 1층 6호 (중동),3941.0,담꾹(성산시영),191435.87699999998,451990.7078
